name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/07/2016, 0.0009633303, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20161006T230718Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/19/2016, 0.0050525665, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20161018T230718Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/31/2016, 0.0006959438, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20161030T230718Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/12/2016, -0.0011587143, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20161111T230718Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/24/2016, 0.0019884109, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20161123T230718Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/05/2017, 0.002202034, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20170404T230715Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/17/2017, -0.0068225861, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20170416T230716Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/29/2017, -0.0005313158, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20170428T230716Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/11/2017, -0.0003168583, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20170510T230717Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/23/2017, 0.0029797554, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20170522T230717Z_v1.0_20260223T222530Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/04/2017, 0.0046520233, OPERA_L3_DISP-S1_IW_F00836_VV_20160702T230714Z_20170603T230718Z_v1.0_20260223T222530Z.nc
