event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220824T230754Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220824T230754Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-08-24 23:07:54+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220824T230754Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220824T230754Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220824T230754Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220824T230754Z_v1.0_20250831T211447Z_BROWSE.png,427819008,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221128T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221128T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-11-28 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221128T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221128T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221128T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221128T230755Z_v1.0_20250831T211447Z_BROWSE.png,427819008,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221116T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221116T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-11-16 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221116T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221116T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221116T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221116T230755Z_v1.0_20250831T211447Z_BROWSE.png,427819008,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221023T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221023T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-10-23 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221023T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221023T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221023T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221023T230755Z_v1.0_20250831T211447Z_BROWSE.png,411041792,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221011T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221011T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-10-11 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221011T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221011T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221011T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221011T230755Z_v1.0_20250831T211447Z_BROWSE.png,419430400,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220929T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220929T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-09-29 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220929T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220929T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220929T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220929T230755Z_v1.0_20250831T211447Z_BROWSE.png,427819008,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221104T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221104T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-11-04 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221104T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221104T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221104T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20221104T230755Z_v1.0_20250831T211447Z_BROWSE.png,423624704,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220905T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220905T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-09-05 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220905T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220905T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220905T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220905T230755Z_v1.0_20250831T211447Z_BROWSE.png,411041792,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220917T230755Z_v1.0_20250831T211447Z,OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220917T230755Z_v1.0_20250831T211447Z.nc,2022-04-14 23:07:46+00:00,2022-09-17 23:07:55+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220917T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220917T230755Z_v1.0_20250831T211447Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220917T230755Z_v1.0_20250831T211447Z/OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220917T230755Z_v1.0_20250831T211447Z_BROWSE.png,427819008,4,836.0,ASCENDING,
2023-08-16,"Eisenhower Parking Deck, Penn State",40.8005,-77.8617,Infrastructure Failure,Caused by water from a failed underground stormwater pipe.,OPERA_S1_DISP,OPERA_L2_CSLC-S1_T004-006683-IW2_20220824T230800Z_20240731T205623Z_S1A_VV_v1.1,OPERA_L2_CSLC-S1_T004-006683-IW2_20220824T230800Z_20240731T205623Z_S1A_VV_v1.1.h5,2022-08-24 23:08:00+00:00,2022-08-24 23:08:04+00:00,https://datapool.asf.alaska.edu/CSLC/OPERA-S1/OPERA_L2_CSLC-S1_T004-006683-IW2_20220824T230800Z_20240731T205623Z_S1A_VV_v1.1.h5,https://datapool.asf.alaska.edu/BROWSE/OPERA-S1/OPERA_L2_CSLC-S1_T004-006683-IW2_20220824T230800Z_20240731T205623Z_S1A_VV_v1.1_BROWSE.png,270983716,4,,ASCENDING,44701.0
