event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20221030T225952_20221030T230024_045678_057677_8DBA,S1A_IW_RAW__0SDV_20221030T225952_20221030T230024_045678_057677_8DBA.iso.xml,2022-10-30 22:59:52+00:00,2022-10-30 23:00:24+00:00,https://datapool.asf.alaska.edu/METADATA_RAW/SA/S1A_IW_RAW__0SDV_20221030T225952_20221030T230024_045678_057677_8DBA.iso.xml,,41599,106,132,ASCENDING,45678
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20221030T225952_20221030T230024_045678_057677_8DBA,S1A_IW_RAW__0SDV_20221030T225952_20221030T230024_045678_057677_8DBA.zip,2022-10-30 22:59:52+00:00,2022-10-30 23:00:24+00:00,https://datapool.asf.alaska.edu/RAW/SA/S1A_IW_RAW__0SDV_20221030T225952_20221030T230024_045678_057677_8DBA.zip,,1620589592,106,132,ASCENDING,45678
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_SLC__1SDV_20221030T225955_20221030T230022_045678_057677_AB72,S1A_IW_SLC__1SDV_20221030T225955_20221030T230022_045678_057677_AB72.iso.xml,2022-10-30 22:59:55+00:00,2022-10-30 23:00:22+00:00,https://datapool.asf.alaska.edu/METADATA_SLC/SA/S1A_IW_SLC__1SDV_20221030T225955_20221030T230022_045678_057677_AB72.iso.xml,,68093,106,133,ASCENDING,45678
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_SLC__1SDV_20221030T225955_20221030T230022_045678_057677_AB72,S1A_IW_SLC__1SDV_20221030T225955_20221030T230022_045678_057677_AB72.zip,2022-10-30 22:59:55+00:00,2022-10-30 23:00:22+00:00,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221030T225955_20221030T230022_045678_057677_AB72.zip,,4782486646,106,133,ASCENDING,45678
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4,S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4.zip,2022-10-30 22:59:56+00:00,2022-10-30 23:00:21+00:00,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4.zip,https://datapool.asf.alaska.edu/BROWSE/SA/S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4.jpg,1023845603,106,133,ASCENDING,45678
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4,S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4.iso.xml,2022-10-30 22:59:56+00:00,2022-10-30 23:00:21+00:00,https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4.iso.xml,https://datapool.asf.alaska.edu/BROWSE/SA/S1A_IW_GRDH_1SDV_20221030T225956_20221030T230021_045678_057677_E0B4.jpg,59049,106,133,ASCENDING,45678
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20221111T225951_20221111T230024_045853_057C5D_E6F7,S1A_IW_RAW__0SDV_20221111T225951_20221111T230024_045853_057C5D_E6F7.iso.xml,2022-11-11 22:59:51+00:00,2022-11-11 23:00:24+00:00,https://datapool.asf.alaska.edu/METADATA_RAW/SA/S1A_IW_RAW__0SDV_20221111T225951_20221111T230024_045853_057C5D_E6F7.iso.xml,,41599,106,132,ASCENDING,45853
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20221111T225951_20221111T230024_045853_057C5D_E6F7,S1A_IW_RAW__0SDV_20221111T225951_20221111T230024_045853_057C5D_E6F7.zip,2022-11-11 22:59:51+00:00,2022-11-11 23:00:24+00:00,https://datapool.asf.alaska.edu/RAW/SA/S1A_IW_RAW__0SDV_20221111T225951_20221111T230024_045853_057C5D_E6F7.zip,,1686541581,106,132,ASCENDING,45853
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_SLC__1SDV_20221111T225954_20221111T230021_045853_057C5D_E19D,S1A_IW_SLC__1SDV_20221111T225954_20221111T230021_045853_057C5D_E19D.iso.xml,2022-11-11 22:59:54+00:00,2022-11-11 23:00:21+00:00,https://datapool.asf.alaska.edu/METADATA_SLC/SA/S1A_IW_SLC__1SDV_20221111T225954_20221111T230021_045853_057C5D_E19D.iso.xml,,68092,106,133,ASCENDING,45853
2023-10-30,"130 Sickler Hill Rd, Luzerne",41.2721,-75.9458,Mine Subsidence,BAMR-reclaimed site following active ground movement.,SENTINEL1_SLC,S1A_IW_SLC__1SDV_20221111T225954_20221111T230021_045853_057C5D_E19D,S1A_IW_SLC__1SDV_20221111T225954_20221111T230021_045853_057C5D_E19D.zip,2022-11-11 22:59:54+00:00,2022-11-11 23:00:21+00:00,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221111T225954_20221111T230021_045853_057C5D_E19D.zip,,4895189303,106,133,ASCENDING,45853
